,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
86,Kazakhstan,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548
16,Bhutan,0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,6.800000190734862,4.0338730812072745,5.924600124359131,62.83831024169922
79,Iraq,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,8.100000381469728,,,
138,Portugal,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295
157,Vietnam,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,
83,Cote d'Ivoire,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,
128,Micronesia,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,9.0,,12.46774959564209,
67,Greece,0.86500001,GRC,WesternDem,25295.27,10.927000045776369,3.7999999523162837,2.999258995056152,,95.0673828125
119,Nauru,,NRU,Pacific,3130.47,0.0120000001043081,,,,71.94534301757812
54,Ethiopia (1993-),0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,7.0,3.5992515087127686,4.500510215759277,30.274250030517578
162,Spain,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,2.4000000953674316,3.4416911602020264,4.27092981338501,96.4586181640625
97,Liberia,0.42699999,LBR,SubSaharian,488.26999000000006,,6.5999999046325675,3.472222328186035,2.757560014724731,
14,Barbados,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,5.400000095367432,5.0402259826660165,6.573299884796143,99.42874908447266
30,Canada,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,
187,Burkina Faso,0.39899999,BFA,SubSaharian,1095.96,16.5,6.9000000953674325,2.868712186813355,4.60476016998291,26.4928092956543
130,Palau,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,70.16300201416016
22,Solomon Islands,0.514,SLB,Pacific,2113.0601,0.5619999766349792,6.300000190734862,,,
117,Oman,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.8999999761581419,3.535049200057983,4.960380077362061,94.32984161376952
3,Andorra,0.85699999,AND,WesternDem,32367.33,,,,2.997809886932373,
171,Thailand,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,4.1288700103759775,83.64586639404297
183,Egypt,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672
72,Haiti,0.49000001,HTI,LatAm,1024.9399,,9.300000190734863,2.325876951217651,,
91,Kuwait,0.79900002,KWT,NorthAfrica,64342.710999999996,3.999000072479248,3.0999999046325684,3.075769186019898,,83.57884979248047
81,Israel,0.898,ISR,NorthAfrica,25926.25,8.211999893188478,,3.719112396240234,5.757269859313965,98.39215850830078
135,Peru,0.73699999,PER,LatAm,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969
174,Trinidad and Tobago,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,7.5,4.182013988494873,,
48,Denmark,0.92299998,DNK,WesternDem,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531
76,India,0.61500001,IND,SouthAsia,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
106,Mali,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,8.399999618530272,3.003276109695435,3.7392899990081787,34.616100311279304
111,Monaco,,MCO,WesternDem,108481.13,,,,1.0219500064849851,
50,Dominican Republic,0.71799999,DOM,LatAm,10376.63,,7.5999999046325675,2.636394500732422,,65.45761108398439
68,Grenada,0.75099999,GRD,Caribbean,8314.5596,,8.399999618530272,,,82.3596420288086
191,Samoa,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984
184,United Kingdom,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755128,98.2799835205078
104,Malaysia (1966-),0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516
0,Afghanistan,0.479,AFG,SouthAsia,1282.64,29.82500076293945,8.100000381469728,,3.780280113220215,48.75032043457031
185,Tanzania,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,7.0,3.0042104721069336,3.479140043258667,
139,Guinea-Bissau,0.42100000000000004,GNB,SubSaharian,961.26001,,8.5,,2.173130035400391,
166,Swaziland,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,6.9000000953674325,3.79865288734436,7.049990177154541,36.21157836914063
10,Bahamas,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,5.0,,,
61,Gabon,0.69400001,GAB,SubSaharian,14525.28,,5.5,2.875664710998535,2.666169881820679,
181,Ukraine,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576903,88.56585693359375
127,Norway,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586
179,Tuvalu,,TUV,Pacific,3174.05,0.0109999999403954,,,,69.80497741699219
115,Morocco,0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,7.5999999046325675,3.170891284942627,,56.14244842529297
65,Ghana,0.57499999,GHA,SubSaharian,2584.6001,,7.5999999046325675,3.8389039039611816,6.178549766540527,51.05852890014648
45,Cyprus (1975-),0.85399997,CYP,NorthAfrica,27207.07,0.8579999804496765,4.5,5.188638210296631,6.138390064239503,94.71498107910156
20,Brazil,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164
92,Kyrgyzstan,0.662,KGZ,EastEurope,3010.24,5.894999980926514,6.4000000953674325,2.8536891937255864,5.527379989624023,80.17756652832031
33,Sri Lanka,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297
29,Cameroon,0.514,CMR,SubSaharian,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
56,Estonia,0.86299998,EST,EastEurope,19768.039,1.315999984741211,3.5,4.364778518676759,5.481639862060547,94.39128112792969
125,Niger,0.35100001,NER,SubSaharian,644.53998,,6.9000000953674325,,6.709410190582275,15.665040016174322
131,Pakistan (1971-),0.54799998,PAK,SouthAsia,2855.55,186.19000244140634,7.0,3.3811123371124268,2.464349985122681,41.17535018920898
189,Uzbekistan,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,6.300000190734862,,,92.20738220214844
9,Austria,0.89200002,AUT,WesternDem,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
73,Honduras,0.62300003,HND,LatAm,3303.1399,,6.9000000953674325,3.1801576614379883,5.86775016784668,49.259361267089844
69,Guatemala,0.63700002,GTM,LatAm,4438.0,,6.699999809265138,2.693367958068848,2.9417400360107417,46.71841812133789
35,Chile,0.84500003,CHL,LatAm,15519.08,17.81900024414063,3.2000000476837163,3.69163703918457,4.750120162963867,88.29785919189453
188,Uruguay,0.79400003,URY,LatAm,12804.84,3.453999996185303,4.400000095367432,2.903504610061647,4.356939792633057,76.34809875488281
173,Tonga,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,,,75.42909240722656
114,Montenegro,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,3.5999999046325684,4.25305986404419,,
140,Timor-Leste,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195
113,Moldova,0.70099998,MDA,EastEurope,4207.8701,3.5550000667572017,6.4000000953674325,3.163065433502197,7.4678401947021475,76.86421203613281
1,Albania,0.76200002,ALB,EastEurope,8516.7002,,7.0999999046325675,4.111338615417481,3.539439916610718,85.27821350097656
159,Somalia,,SOM,SubSaharian,1436.74,,9.199999809265137,,,
19,Botswana,0.69800001,BWA,SubSaharian,12770.73,,5.099999904632568,3.523580312728882,,
149,Sao Tome and Principe,0.565,STP,SubSaharian,2150.55,,7.9000000953674325,,3.7568199634552,64.42681121826172
143,Russia,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,4.5,3.4765191078186035,3.8613300323486333,
46,Czech Republic,0.875,CZE,EastEurope,23847.08,10.51200008392334,2.799999952316284,3.578998565673828,4.089019775390625,
129,Marshall Islands,,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
147,St Vincent and the Grenadines,0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,,,
186,United States,0.91799998,USA,WesternDem,47769.699,318.7890014648438,1.5,4.5645713806152335,5.380780220031738,90.46228790283205
164,Sudan (2012-),0.48800001,SDN,SubSaharian,,,8.800000190734863,,,
133,Papua New Guinea,0.51499999,PNG,Pacific,1693.54,6.880000114440918,7.0999999046325675,,,
40,Congo,0.58999997,COG,SubSaharian,2369.8401,,6.800000190734862,,,
12,Bangladesh,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,1.9572600126266482,57.23989868164063
153,Seychelles,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.6064400672912598,74.57037353515625
137,Poland,0.852,POL,EastEurope,19990.939,38.01800155639648,4.400000095367432,3.566189289093018,4.911749839782715,92.548828125
62,Georgia,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
4,Angola,0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,6.0,2.134715557098389,,
36,China,0.73400003,CHN,EastAsia,9283.3799,,4.599999904632568,4.028250217437743,,
49,Dominica,0.72399998,DMA,Caribbean,12613.72,,,,,86.32093048095703
64,Germany,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,2.099999904632568,5.241913795471191,4.952189922332764,
98,Libya,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.4000000953674325,1.874972462654114,,
120,Nepal,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,7.0,3.591810703277588,3.9813001155853267,59.67913055419922
96,Latvia,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
116,Mozambique,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,7.4000000953674325,2.77046012878418,6.483220100402832,19.43997955322266
165,Suriname,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,7.300000190734862,2.884561777114868,,58.39226913452148
34,Chad,0.39399999,TCD,SubSaharian,1651.05,,8.600000381469728,2.528029441833496,2.8497099876403813,
18,Bosnia and Herzegovina,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,,
52,El Salvador,0.67799997,SLV,LatAm,332.26999,,6.9000000953674325,3.804579257965088,3.448570013046265,70.17172241210939
123,New Zealand,0.91299999,NZL,WesternDem,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531
121,Netherlands,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876
44,Cuba,0.773,CUB,LatAm,5899.9399,,5.699999809265138,,,87.48567199707031
99,Liechtenstein,0.91100001,LIE,WesternDem,102243.52,,,,2.556040048599243,91.53871917724608
15,Belgium,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,1.8999999761581419,5.328890800476074,6.5851402282714835,95.2855987548828
