,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
41,"Congo, Democratic Republic",0.42500001,COD,SubSaharian,324.16,,74.5,1.8200001000000001,,4.328233718872069
180,Uganda,0.48800001,UGA,SubSaharian,1343.45,37.599998474121094,45.400001525878906,10.22,10.3,7.222136974334718
185,Tanzania,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
21,Belize,0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,15.699999809265142,6.579999900000001,,5.788949966430664
62,Georgia,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,17.79999923706055,6.130000099999999,30.0,7.416659355163574
155,Singapore,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
78,Iran,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,15.100000381469732,0.029999999,11.7,6.8949222564697275
165,Suriname,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259032
158,Slovenia,0.88800001,SVN,EastEurope,24456.561,2.0610001087188716,2.5,10.46,20.9,9.23388671875
187,Burkina Faso,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
173,Tonga,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.1767706871032715
125,Niger,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
192,Yemen,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
77,Indonesia,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438
25,Myanmar,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288
67,Greece,0.86500001,GRC,WesternDem,25295.27,10.927000045776369,4.099999904632568,7.530000200000001,43.400002,8.084266662597656
131,Pakistan (1971-),0.54799998,PAK,SouthAsia,2855.55,186.19000244140634,69.30000305175781,0.039999999,22.6,2.613916397094727
61,Gabon,0.69400001,GAB,SubSaharian,14525.28,,42.400001525878906,8.8599997,,3.437471628189087
29,Cameroon,0.514,CMR,SubSaharian,2658.51,,61.099998474121094,6.1900001,18.799999,4.1036715507507315
99,Liechtenstein,0.91100001,LIE,WesternDem,102243.52,,,,,
44,Cuba,0.773,CUB,LatAm,5899.9399,,,4.369999900000001,36.099998,11.05880069732666
33,Sri Lanka,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734862,2.3699999,14.1,3.503350019454956
103,Malawi,0.47299999,MWI,SubSaharian,938.3499800000001,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
54,Ethiopia (1993-),0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
130,Palau,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
100,Lithuania,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880128
4,Angola,0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959
55,Eritrea,0.41800001,ERI,SubSaharian,1007.28,,,0.62,,3.338293075561523
170,Tajikistan,0.625,TJK,EastEurope,3592.6499,8.131999969482424,49.0,0.31999999,,6.8808841705322275
84,Jamaica,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918
101,Luxembourg,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872
127,Norway,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
135,Peru,0.73699999,PER,LatAm,9227.1504,30.80900001525879,14.100000381469732,5.380000099999999,,5.473034858703613
22,Solomon Islands,0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
2,Algeria,0.74299997,DZA,NorthAfrica,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.2071781158447275
175,United Arab Emirates,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265138,1.91,,3.643985748291016
8,Australia,0.93699998,AUS,WesternDem,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745117
138,Portugal,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.9000000953674316,9.880000099999998,22.6,9.501075744628906
137,Poland,0.852,POL,EastEurope,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.3502464294433585
114,Montenegro,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,5.5,6.559999900000001,,6.416542530059815
17,Bolivia,0.6709999999999999,BOL,LatAm,4023.8701,10.07800006866455,32.799999237060554,3.6199999,,6.334827423095702
96,Latvia,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,7.5999999046325675,10.37,35.900002,5.880693435668945
42,Costa Rica,0.77499998,CRI,LatAm,9485.71,,8.600000381469728,3.45,14.2,9.313112258911133
3,Andorra,0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
98,Libya,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.199999809265142,0.0,,4.968935012817383
23,Brunei,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
35,Chile,0.84500003,CHL,LatAm,15519.08,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718
39,Comoros,0.498,COM,SubSaharian,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927003
162,Spain,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,3.7999999523162837,9.25,30.299999,9.029886245727539
40,Congo,0.58999997,COG,SubSaharian,2369.8401,,,3.8199998999999996,18.5,5.151411533355713
116,Mozambique,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,63.099998474121094,1.16,18.799999,6.975581645965576
132,Panama,0.78500003,PAN,LatAm,15137.04,3.788000106811523,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426
154,Sierra Leone,0.43099999,SLE,SubSaharian,979.9500099999999,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
179,Tuvalu,,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877
97,Liberia,0.42699999,LBR,SubSaharian,488.26999000000006,,53.599998474121094,3.72,14.2,10.036333084106449
177,Turkey,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,12.199999809265142,1.45,27.0,5.41495943069458
85,Japan,0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.200000047683716,7.5500002,22.799999,10.22874450683594
147,St Vincent and the Grenadines,0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,7.0100002,,8.630239486694336
166,Swaziland,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957
124,Nicaragua,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
82,Italy,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.2000000476837163,7.559999900000001,24.200001,9.247918128967283
45,Cyprus (1975-),0.85399997,CYP,NorthAfrica,27207.07,0.8579999804496765,2.5,9.04,,7.367611408233643
193,Zambia,0.57599998,ZMB,SubSaharian,1916.79,,56.400001525878906,2.4100001,15.9,4.986764907836914
74,Hungary,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675
136,Philippines,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,23.5,4.52,26.700001,4.709985256195068
5,Antigua and Barbuda,0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.5416831970214835
94,Lebanon,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001000000001,37.0,6.3937087059021
168,Switzerland,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,3.7000000476837163,9.6099997,24.1,11.659268379211431
18,Bosnia and Herzegovina,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102
89,"Korea, North",,PRK,EastAsia,1727.8199,,,3.3499999,,
19,Botswana,0.69800001,BWA,SubSaharian,12770.73,,41.0,5.7600002,,5.412002563476563
143,Russia,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
184,United Kingdom,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783
151,Senegal,0.491,SEN,SubSaharian,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693
107,Malta,0.85299999,MLT,WesternDem,24094.641,0.42500001192092896,5.800000190734862,8.489999800000001,25.9,9.749919891357422
50,Dominican Republic,0.71799999,DOM,LatAm,10376.63,,22.79999923706055,5.920000099999999,14.5,4.375777721405028
144,Rwanda,0.493,RWA,SubSaharian,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826
139,Guinea-Bissau,0.42100000000000004,GNB,SubSaharian,961.26001,,,3.5699998999999996,,5.593137264251709
172,Togo,0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.2468767166137695
6,Azerbaijan,0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367
160,South Africa,0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,33.299999237060554,7.380000099999999,18.9,8.796984672546387
59,France (1963-),0.89399999,FRA,WesternDem,34007.898,64.02799987792969,3.4000000953674316,11.5,28.1,11.53951930999756
181,Ukraine,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
152,Serbia,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265138,9.090000199999999,42.099998,10.36881160736084
81,Israel,0.898,ISR,NorthAfrica,25926.25,8.211999893188478,3.2999999523162837,2.6199999,30.4,7.808308124542236
27,Belarus,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565
156,Slovakia,0.84200001,SVK,EastEurope,21776.34,5.415999889373778,6.300000190734862,10.6,28.799999,8.054047584533691
123,New Zealand,0.91299999,NZL,WesternDem,26481.369,4.554999828338623,4.699999809265137,9.069999699999999,17.6,11.02960968017578
174,Trinidad and Tobago,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.940000099999999,,5.933197021484375
37,Taiwan,,TWN,EastAsia,33965.871,23.43400001525879,3.9345641136169434,,,
